rank_title,product_category,price_usd,discount_%,selling_proposition,blackfriday,rank_title_numeric,product_title
#1 Best Sellers,in Give Gifts,2.03,22.0,0,0.0,1.0,"1pc Rechargeable Deep Tissue Muscle Handheld Massage Gun, Suitable For Body, Back And Neck Pain, Ultra-Compact Elegant Design, High-Torque Driven Massager"
#4 Best Sellers,in Top rated in Portable Fans,6.48,20.0,0,0.0,4.0,1pc Portable Hanging Neck Fan
#6 Best Sellers,in Oral Irrigators,12.06,40.0,0,0.0,6.0,"Wit Water Flosser,Portable Oral Irrigator With 3 Modes, Nasal Washer, 4 Replaceable Nozzles, Rechargeable Waterproof Tooth Cleaner, For Home And Travel, Removable Large Water Tank"
#10 Best Sellers,in Refrigerators & Freezers,2.7,0.0,0,0.0,10.0,"1pc Ice Pop Mold, Plastic Ice Cream Mold, Frozen Ice Pop Box, Safe Jelly Mould, Kitchen Utensils, Kitchen Accessories"
#8 Best Sellers,in Other Household Appliances,3.5,0.0,0,0.0,8.0,"Mini Pocket Bluetooth Thermal Printer, Portable Wireless Inkless Printing Machine For Pictures, Notes, Photos, Journals, DIY, Compatible With IOS And Android Phones"
#6 Best Sellers,in Oral Care Appliances,4.28,41.0,0,0.0,6.0,"6 Modes Multi-Functional Sonic Electric Toothbrush, 8/4 Heads Kit, Equipped With 2 Minutes Smart Timer And 30S Area Switch Reminder, Waterproof Usb Rechargeable Oral Cleaner Set For Family Or Travel Use"
#9 Best Sellers,in Household Appliances,2.76,5.0,0,0.0,9.0,"1pc AA Battery Operated Portable Handheld Mini Fan With Strap, Simple Design, 1-Speed For Outdoor Use"
#1 Best Sellers,in Women Shave & Hair Removal Appliances,4.29,35.0,0,0.0,1.0,"Teckwe Epilator,2*AAA Batteries Portability Removal Device,Cordless Epilators Hair Removal For Women,Hair Removal Cordless Electric Trimmer For Legs Arms Armpit Bikini,Product Does Not Include Batteries"
#6 Best Sellers,in Vacuum Food Sealers,4.8,0.0,0,0.0,6.0,"Vacuum Sealer For 110V-220V, Food Protector Vacuum Sealer Machine, Automatic Food Vacuum Sealer For Food Preservation Sealing Packing System, For Fresh Food And Food Storage Lightning Deals"
#8 Best Sellers,in Juicer & Food Processor,3.07,63.0,0,0.0,8.0,"1pc 900ml Manual Food Processor Garlic Vegetable Chopper, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods"
#5 Best Sellers,in Cleaning Appliance Parts,1.86,28.0,0,0.0,5.0,"1pc White Half-Wrap Fan Dustproof Cover For Home Use, Waterproof, Moisture-Proof, Dustproof Fan Protective Cover, Easy To Put On And Take Off, Washable And Reusable, Keeping The Fan Clean"
#9 Best Sellers,in Laundry Appliances,0.75,53.0,0,0.0,9.0,"1pc Blue Lint Remover, Wool Sweater Shaver, Clothes Fuzz Ball Trimmer For Home Use"
#2 Best Sellers,in Laundry Appliances,11.25,11.0,0,0.0,2.0,"New 2 In 1 Mini Irons, Mini Travel Iron, Portable Ironing Clothes Foldable Rotating Handheld Irons, Travel Mini Irons Wrinkle Remover Ironing Machine"
#6 Best Sellers,in Fruit & Vegetable Tools,8.94,28.0,0,0.0,6.0,"6 Blades USB Portable Juicer Maker, Juicer Fruit Juice Cup Automatic Small Electric Juicer Smoothie Blender Ice CrushCup Food Processor"
#7 Best Sellers,in Blenders,3.46,48.0,0,0.0,7.0,"1pc Pink 500ml Manual Garlic Masher For Home Use, Hand-held Garlic Press For Cutting Vegetables, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods"
#8 Best Sellers,in Kitchen Meat Grinders,9.3,0.0,0,0.0,8.0,"Electric Garlic Masher, Portable Mini Garlic Chopper, Garlic Blender, Household Electric Garlic Press, Wireless Garlic Mincer, Garlic Slicer, Portable Compact Design, Easy-To-Use Kitchen Tool,Kitchen,Kitchen Items,Food,Cooking,Camping,Meat,Poultry,Room Decor,Organizer,Party."
#6 Best Sellers,in Egg Cookers,2.1,0.0,0,0.0,6.0,"1pc 4-Grid Egg Frying Pan, Kitchen Baking Mold, Flower Shaped Silicone Egg Cooking Mold"
#10 Best Sellers,in Air Purifiers,6.12,40.0,0,0.0,10.0,"O3 Ozone Generator Air Purifier,Refrigerator Deodorizer,Food Shelf Life Extender,Remove Smoke Pet Toilet Smell"
#10 Best Sellers,in Other Body Care Machines,2.7,0.0,0,0.0,10.0,"4pcs Makeup Sponge Beauty Egg Set - Makeup Sponge For Foundation Blending With Egg Holder, Perfectly Used For Cream, Powder, Blush, Concealer, And Liquid"
#1 Best Sellers,in Hair Dryers,4.38,32.0,0,0.0,1.0,1pc Salon Tools Black Pink Universal Silicone Hair Dryer Diffuser Hood Adjustable Temperature Dispersion Resistant Drying Hair Dryer
#2 Best Sellers,in Electric Nose & Ear Trimmers,2.86,25.0,0,0.0,2.0,Portable Lithium Battery Powered Hair Trimmer & Nose Hair Trimmer
#7 Best Sellers,in Juicer & Food Processor,3.46,51.0,0,0.0,7.0,"Multifunctional Manual Food Chopper, Kitchen Vegetable Fruit Onion Garlic Nuts Herb Slicer, Hand-Powered Mixing Cutter, Green"
#7 Best Sellers,in Cleaning Appliance Parts,2.4,0.0,0,0.0,7.0,"1 Set Of 2 Portable Fan Cleaning Brushes, Household Multi-Purpose Keyboard And Gap Cleaning Small Brush - Deep Into The Gap, Easily Remove Dust."
#8 Best Sellers,in Electric Toothbrushes,2.6,0.0,0,0.0,8.0,"Smart Electric Toothbrush With 6 Modes 42000vpm & Smart Timer - Effectively Cleans Teeth & Gums, Rechargeable USB Electric Toothbrush With 4/8 Replacement Head, Electric Toothbrush For Adults, Available In 3 Colors, Great Gift Father's Day Gift"
#5 Best Sellers,in Electric Nose & Ear Trimmers,2.1,46.0,0,0.0,5.0,1pc 12.7cm Aluminum Metal Electric Battery Type Eyebrow Shaver Nose Hair Trimmer
#9 Best Sellers,in Specialty Kitchen Appliances,4.4,0.0,0,0.0,9.0,"1pc Mini Bag Sealer, Rechargeable Portable Sealing Machine, Handheld Plastic Vacuum Sealer For Kitchen Packaging"
#3 Best Sellers,in Refrigerators & Freezers,34.99,54.0,0,0.0,3.0,"Reemix Mini Fridge, 3.7 Liter/6 Can Portable Cooler And Warmer Personal Refrigerator For Skin Care, Cosmetics, Beverage, Food,Great For Bedroom, Office, Car, Freon-Free"
#1 Best Sellers,in Led Makeup Mirror,4.8,4.0,0,0.0,1.0,"Portable Led Lighted Magnifying Travel Makeup Mirror 1X/3X Magnification Folding Dual Sided Compact Handheld Illuminated Mirror For Home Tabletop Decoration, Bathroom, Dresser Vanity & Countertop Bedroom Travel Dormitory Mirror Women Gift"
#1 Best Sellers,in Heater & Cooler,3.0,0.0,0,0.0,1.0,"1pc Handheld Portable Fan With Hand Rope And Self-Installed Battery, 1 Speed"
#4 Best Sellers,in Electric Space Heater,10.88,15.0,0,0.0,4.0,"1 Pc Menstrual Heating Pad  Uterine Warmer Hot Massage Stomach Heating Pad For Ladies And Girls Multi-Speed Adjustable Abdominal Heating MassageR,Portable Cordless Heating Pad, Electric Waist Belt Device"
